"season","round","round_name","date","time","utc_start","venue","venue_tz","home_team","away_team","team","player","given","surname","position","named"
2026,29,"Grand Final","2026-09-26","14:30","2026-09-26T04:30:00.000+0000","MCG","Australia/Melbourne","Fremantle","Brisbane Lions","Fremantle","Jordan Clark","Jordan","Clark","BPL",TRUE
2026,29,"Grand Final","2026-09-26","14:30","2026-09-26T04:30:00.000+0000","MCG","Australia/Melbourne","Fremantle","Brisbane Lions","Fremantle","Alex Pearce","Alex","Pearce","FB",TRUE
2026,29,"Grand Final","2026-09-26","14:30","2026-09-26T04:30:00.000+0000","MCG","Australia/Melbourne","Fremantle","Brisbane Lions","Fremantle","Judd McVee","Judd","McVee","BPR",TRUE
2026,29,"Grand Final","2026-09-26","14:30","2026-09-26T04:30:00.000+0000","MCG","Australia/Melbourne","Fremantle","Brisbane Lions","Fremantle","Karl Worner","Karl","Worner","HBFL",TRUE
2026,29,"Grand Final","2026-09-26","14:30","2026-09-26T04:30:00.000+0000","MCG","Australia/Melbourne","Fremantle","Brisbane Lions","Fremantle","Oscar McDonald","Oscar","McDonald","CHB",TRUE
2026,29,"Grand Final","2026-09-26","14:30","2026-09-26T04:30:00.000+0000","MCG","Australia/Melbourne","Fremantle","Brisbane Lions","Fremantle","Heath Chapman","Heath","Chapman","HBFR",TRUE
2026,29,"Grand Final","2026-09-26","14:30","2026-09-26T04:30:00.000+0000","MCG","Australia/Melbourne","Fremantle","Brisbane Lions","Fremantle","Matthew Johnson","Matthew","Johnson","WL",TRUE
2026,29,"Grand Final","2026-09-26","14:30","2026-09-26T04:30:00.000+0000","MCG","Australia/Melbourne","Fremantle","Brisbane Lions","Fremantle","Andrew Brayshaw","Andrew","Brayshaw","C",TRUE
2026,29,"Grand Final","2026-09-26","14:30","2026-09-26T04:30:00.000+0000","MCG","Australia/Melbourne","Fremantle","Brisbane Lions","Fremantle","Neil Erasmus","Neil","Erasmus","WR",TRUE
2026,29,"Grand Final","2026-09-26","14:30","2026-09-26T04:30:00.000+0000","MCG","Australia/Melbourne","Fremantle","Brisbane Lions","Fremantle","Michael Frederick","Michael","Frederick","HFFL",TRUE
2026,29,"Grand Final","2026-09-26","14:30","2026-09-26T04:30:00.000+0000","MCG","Australia/Melbourne","Fremantle","Brisbane Lions","Fremantle","Murphy Reid","Murphy","Reid","CHF",TRUE
2026,29,"Grand Final","2026-09-26","14:30","2026-09-26T04:30:00.000+0000","MCG","Australia/Melbourne","Fremantle","Brisbane Lions","Fremantle","Sam Switkowski","Sam","Switkowski","HFFR",TRUE
2026,29,"Grand Final","2026-09-26","14:30","2026-09-26T04:30:00.000+0000","MCG","Australia/Melbourne","Fremantle","Brisbane Lions","Fremantle","Jye Amiss","Jye","Amiss","FPL",TRUE
2026,29,"Grand Final","2026-09-26","14:30","2026-09-26T04:30:00.000+0000","MCG","Australia/Melbourne","Fremantle","Brisbane Lions","Fremantle","Josh Treacy","Josh","Treacy","FF",TRUE
2026,29,"Grand Final","2026-09-26","14:30","2026-09-26T04:30:00.000+0000","MCG","Australia/Melbourne","Fremantle","Brisbane Lions","Fremantle","Patrick Voss","Patrick","Voss","FPR",TRUE
2026,29,"Grand Final","2026-09-26","14:30","2026-09-26T04:30:00.000+0000","MCG","Australia/Melbourne","Fremantle","Brisbane Lions","Fremantle","Luke Jackson","Luke","Jackson","RK",TRUE
2026,29,"Grand Final","2026-09-26","14:30","2026-09-26T04:30:00.000+0000","MCG","Australia/Melbourne","Fremantle","Brisbane Lions","Fremantle","Caleb Serong","Caleb","Serong","RR",TRUE
2026,29,"Grand Final","2026-09-26","14:30","2026-09-26T04:30:00.000+0000","MCG","Australia/Melbourne","Fremantle","Brisbane Lions","Fremantle","Shai Bolton","Shai","Bolton","R",TRUE
2026,29,"Grand Final","2026-09-26","14:30","2026-09-26T04:30:00.000+0000","MCG","Australia/Melbourne","Fremantle","Brisbane Lions","Fremantle","Isaiah Dudley","Isaiah","Dudley","INT",TRUE
2026,29,"Grand Final","2026-09-26","14:30","2026-09-26T04:30:00.000+0000","MCG","Australia/Melbourne","Fremantle","Brisbane Lions","Fremantle","Mason Cox","Mason","Cox","INT",TRUE
2026,29,"Grand Final","2026-09-26","14:30","2026-09-26T04:30:00.000+0000","MCG","Australia/Melbourne","Fremantle","Brisbane Lions","Fremantle","Hayden Young","Hayden","Young","INT",TRUE
2026,29,"Grand Final","2026-09-26","14:30","2026-09-26T04:30:00.000+0000","MCG","Australia/Melbourne","Fremantle","Brisbane Lions","Fremantle","Corey Wagner","Corey","Wagner","INT",TRUE
2026,29,"Grand Final","2026-09-26","14:30","2026-09-26T04:30:00.000+0000","MCG","Australia/Melbourne","Fremantle","Brisbane Lions","Fremantle","Luke Ryan","Luke","Ryan","INT",TRUE
2026,29,"Grand Final","2026-09-26","14:30","2026-09-26T04:30:00.000+0000","MCG","Australia/Melbourne","Fremantle","Brisbane Lions","Fremantle","Brennan Cox","Brennan","Cox","EMERG",TRUE
2026,29,"Grand Final","2026-09-26","14:30","2026-09-26T04:30:00.000+0000","MCG","Australia/Melbourne","Fremantle","Brisbane Lions","Fremantle","Christopher Scerri","Christopher","Scerri","EMERG",TRUE
2026,29,"Grand Final","2026-09-26","14:30","2026-09-26T04:30:00.000+0000","MCG","Australia/Melbourne","Fremantle","Brisbane Lions","Fremantle","Jaeger O'Meara","Jaeger","O'Meara","EMERG",TRUE
2026,29,"Grand Final","2026-09-26","14:30","2026-09-26T04:30:00.000+0000","MCG","Australia/Melbourne","Fremantle","Brisbane Lions","Brisbane Lions","Ty Gallop","Ty","Gallop","BPL",TRUE
2026,29,"Grand Final","2026-09-26","14:30","2026-09-26T04:30:00.000+0000","MCG","Australia/Melbourne","Fremantle","Brisbane Lions","Brisbane Lions","Harris Andrews","Harris","Andrews","FB",TRUE
2026,29,"Grand Final","2026-09-26","14:30","2026-09-26T04:30:00.000+0000","MCG","Australia/Melbourne","Fremantle","Brisbane Lions","Brisbane Lions","Ryan Lester","Ryan","Lester","BPR",TRUE
